ResponseId,Exp,Condition,Strategy_Response,r1_highlow,r2_highlow,r1_mental_averaging,r2_mental_averaging,r1_start_end,r2_start_end,r1_variability,r2_variability,r1_number_of_points,r2_number_of_points,r1_equal_area,r2_equal_area,r1_unknown,r2_unknown,r1_other_na,r2_other_na
173,1,line,Study the graph high and low price and reversal of high or low. Make decision based on this point.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
174,1,line,I tried to gauge over what period of time the stock was up or down relative to the other postings.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
175,1,line,I looked at the start and end stock prices as well as the average rate of incline or decline in the graph to try to find the median stock price. I started the line at where most of the stock prices and adjusted it up or down based on the outliers.,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176,1,line,"I honestly mostly guessed by trying to get what I felt was equal dips and raises above and below the line. The more dramatic, the more I tried to match high peaks and valleys to even them out.",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,1,line,I considered the many changes in the price and then chose a middle point to be able to make my judgement.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178,1,line,"considered how the low peaks over time would hurt the average and adjusted for that. Depending how long the line would stay in the lower peak I would adjust my average accordingly(IE if the line stayed at the bottom 2/3s the time, the lien or average would be closer to that). The exact same tactic was used if the stock was high all the time.",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
179,1,line,"I felt like the best way to determine the average stock price for each graph was to drag the red line to a position such that half of the blue line was above the red line, with the other half being below the red line. This is certainly inexact but I think the estimates came out reasonably well given the available information. I also noted the locations that represented the highest and lowest prices of the stock just to provide a baseline of the possible range that the red line could feasibly be placed.",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
180,1,line,its peak and low curves,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
181,1,line,I just looked to see where the line hit the average the most.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
182,1,line,"Looking at the chart, I tried to focus on highs, lows, and in-between times. I also tried to factor in what percentage of time the stock was high vs low. Then, I tried to choose an average.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
