"","participantId","task","id","rsp_time","status","data.select.x","data.select.y","pixel.select.x","pixel.select.y","param.mu","param.sigma","param.lambda","param.p","param.q","pixelToMM","dist_to_screen","data.select.left_area","data.ans.x","pixel.med.x","pixel.mod.x","phy.select.x","phy.med.x","phy.mod.x","va.select.x","va.med.x","va.mod.x"
"94","66803a896850f7964079120f","task1","4",5.439,"completed",0.74,0.441707471694976,357.09,235.525548680484,0.45,0.8,0.58,3.19,16.32,5.44705882352941,517.438787133982,0.338312298346335,1.10986507024655,376.877781258191,341.575,56.3772138228942,60.0099598422164,53.5288876889849,6.23646062995519,6.63744472176023,5.9219536909433
"95","66803a896850f7964079120f","task1","5",5.021,"completed",-0.72,0.204171391005705,278.98,329.352300552747,-0.76,1.56,-0.03,4.28,18.81,5.44705882352941,517.438787133982,0.523166855757254,-0.833467689008848,272.909478638027,276.84,42.0373650107991,40.9229064454261,41.6444924406047,4.65222211619657,4.5290165389192,4.60879049754993
"96","66803a896850f7964079120f","task1","6",7.393,"completed",1.15,0.628870488198171,379.025,161.596157161722,1.13,0.53,0.04,3.4,24.6,5.44705882352941,517.438787133982,0.492577431894762,1.16180305791862,379.656463598646,377.955,60.4041576673866,60.5200851099026,60.2077213822894,6.68094684031375,6.69373976975811,6.65926914618994
"97","66803a896850f7964079120f","task1","7",6.656,"completed",-0.84,0.288051667480532,272.56,296.21959134519,-0.97,1.22,0.1,2.81,28.87,5.44705882352941,517.438787133982,0.487457465454047,-0.796447648479157,274.890050806365,265.605,40.858747300216,41.2865104072161,39.5819114470842,4.52192329808437,4.56921483439794,4.38075305229665
"98","66803a896850f7964079120f","task1","8",6.38,"completed",-1.69,0.353406908873524,227.085,270.404270994958,-1.91,0.92,0.25,3.98,13.71,5.44705882352941,517.438787133982,0.452760497963885,-1.55627951397716,234.239046002222,215.315,32.5102051835853,33.8235829593712,30.3494060475162,3.59865786653016,3.74393839231629,3.35961405948591
"99","66803a896850f7964079120f","task1","9",6.766,"completed",-0.01,0.231138888992503,316.965,318.700138847962,0.31,1.36,-0.21,4.68,39.83,5.44705882352941,517.438787133982,0.531033374217386,-0.144270816166834,309.781511335074,334.085,49.0108531317495,47.6920701155104,52.1538336933045,5.42289928978635,5.27718909620869,5.77009049558862
"100","66803a896850f7964079120f","task1","10",6.081,"completed",-0.45,0.219696426762089,293.425,323.219911428975,-0.49,1.46,-0.04,4.18,11.86,5.44705882352941,517.438787133982,0.528787857344292,-0.581034719323272,286.414642516205,291.285,44.6892548596112,43.4022561854804,44.2963822894168,4.94534994158639,4.80309882035767,4.90192759042898
"101","67104869a47a61b561900be7","task1","1",44.495,"completed",0.59,0.510442580674532,349.065,208.37518063356,0.86,0.65,-0.4,3.65,46.75,5.14117647058824,526.079584997385,0.56197943186899,0.468303064154354,342.554213932258,363.51,58.1705377574371,56.9041377213774,60.9802059496567,6.32896004873537,6.19144657660254,6.63398531911744
"102","67104869a47a61b561900be7","task1","2",17.626,"completed",-0.88,0.320580078789141,270.42,283.370868878289,-0.98,1.27,0.15,2.07,11.04,5.14117647058824,526.079584997385,0.457103877682465,-0.74560423468036,277.610173444601,265.07,42.8734553775744,44.2720016997507,41.8328375286041,4.66680306881144,4.81885915021901,4.5536518385789
"103","67104869a47a61b561900be7","task1","3",25.994,"completed",-1.46,0.65717839695897,239.39,150.414533201207,-1.48,0.52,0.12,3.14,16.99,5.14117647058824,526.079584997385,0.453143623836416,-1.38868654586065,243.205269796455,238.32,36.8378718535469,37.5799723860382,36.6297482837529,4.0104061265298,4.09112797593493,3.98776680496713
