participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.ans.x,data.ans.y,data.left.grad,data.right.grad,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y,flat
6740e1e09ca406ab781318cb,task2,1,7.203,completed,1.25,0.28255040435359224,384.375,298.39259028033104,1.21,1.25,-0.69,3.38,15.51,1.21,0.28257977905779147,0.01675883143612674,-0.03434798199444527,5.129411764705883,704.4467701767021,65.1877866972477,21.758325289385002,5.298233087845518,1.7695604045752704,382.235,298.3809872721724,64.77058486238532,21.76058734372786,5.264372239002555,1.7697443436108482,0.025553406715286005
6740e1e09ca406ab781318cb,task2,2,6.411,completed,0.21,0.5373833694282457,328.735,197.73356907584292,0.17,0.6,-0.65,4.7,29.29,0.17,0.5374023153150705,0.2063938497017013,-1.1878911617346159e-20,5.129411764705883,704.4467701767021,54.340538990825685,41.3822170379664,4.4175673126843,3.3648317946357733,326.595,197.72608545054715,53.9233371559633,41.38367600161351,4.383684456240092,3.3649503563291523,0.10319692485085065
6740e1e09ca406ab781318cb,task2,3,9.403,completed,-1.6,0.30466270520119904,231.9,289.6582314455264,-1.52,1.21,0.77,3.1,11.75,-1.52,0.30656215387238267,2.858206870777213e-4,-0.025785400771326763,5.129411764705883,704.4467701767021,35.46215596330275,23.461124603509763,2.8836855189533472,1.9080209483302417,236.18,288.90794922040885,36.29655963302752,23.60739522079185,2.951507282649445,1.9199144676223372,0.013035610729202242
6740e1e09ca406ab781318cb,task2,4,7.097,completed,1.04,0.5338994017927353,373.14,199.10973629186955,1.01,0.61,-0.84,4.85,46.84,1.01,0.534044738386573,0.11714134339766341,-7.395570849496503e-100,5.129411764705883,704.4467701767021,62.99747706422018,41.11392755777772,5.120453438777048,3.343029309362076,371.535,199.0523283373037,62.684575688073394,41.12511947552565,5.095054312435868,3.3439388229327913,0.058570671698831706
6740e1e09ca406ab781318cb,task2,5,7.616,completed,1.52,0.2012661082416869,398.82,330.4998872445337,0.98,1.57,-0.35,4.64,16.82,0.98,0.20213904327542964,0.002377869270096238,-0.06539498079939077,5.129411764705883,704.4467701767021,68.0038990825688,15.498875193152836,5.526769305848647,1.2605413983194986,369.93,330.1550779062053,62.371674311926604,15.566097197184746,5.069654685131289,1.2660081975411788,0.033886425034743504
6740e1e09ca406ab781318cb,task2,6,5.85,completed,-0.52,0.2997430293026969,289.68000000000006,291.6015034254347,-0.26,1.07,0.58,4.51,23.71,-0.26,0.3021692765219258,0.15797124656616227,-0.012030525717683305,5.129411764705883,704.4467701767021,46.72660550458716,23.08227570834415,3.799089498092235,1.8772158926535556,303.59,290.6431357738393,49.438417431192654,23.269113438586377,4.019396525368541,1.8924081228763783,0.08500088614192279
6740e1e09ca406ab781318cb,task2,7,5.822,completed,1.68,0.5817795372621555,407.38,180.1970827814486,1.66,0.63,-0.64,2.95,19.35,1.66,0.58191293566601,0.34865957828364147,-3.4276311728738305e-6,5.129411764705883,704.4467701767021,69.67270642201834,44.801027439396485,5.662177533204009,3.6426387888521123,406.31,180.14439041192605,69.46410550458715,44.81130003437221,5.645252362432311,3.6434734603733356,0.17433150295740718
6740e1e09ca406ab781318cb,task2,8,5.373,completed,1.81,0.6360719666207865,414.335,158.75157318478935,1.87,0.51,0.63,4.62,12.06,1.87,0.6363732118659481,1.2995263120163543e-14,-0.5133011353891316,5.129411764705883,704.4467701767021,71.0286123853211,48.98191807177271,5.7721850839525395,3.982312650207533,417.545,158.6325813129505,71.65441513761468,49.00511602843854,5.822954220794359,3.9841971640152987,0.2566505676945723
6740e1e09ca406ab781318cb,task2,9,6.245,completed,-1.43,0.4943350968571815,240.99500000000003,214.73763674141327,-1.44,0.74,0.02,2.55,15.1,-1.44,0.49433789891917884,0.4385167091397974,-0.42803053959594806,5.129411764705883,704.4467701767021,37.23526376146789,38.06720384628411,3.0278042923178843,3.095421376344291,240.46,214.73652992692436,37.13096330275229,38.067419624338136,3.0193269781599126,3.095438913727207,0.43327362436787276
6740e1e09ca406ab781318cb,task2,10,6.166,completed,1.46,0.2707081515101372,395.61,303.07028015349573,1.13,1.21,-0.36,4.35,3.68,1.13,0.2715487451614211,0.01684489220210631,-0.2869882878161894,5.129411764705883,704.4467701767021,67.37809633027523,20.84639033704785,5.475987217727746,1.6954056464052358,377.955,302.7382456612387,63.93618119266054,20.911121832097958,5.196647787214287,1.7006693899597267,0.15191659000914787
67e557aa25a43e8dde6c806c,task2,1,14.613,completed,0.81,0.2440611169707784,360.835,313.5958587965426,0.39,1.31,-0.48,4.68,5.69,0.39,0.2464747937687079,0.004903626332660377,-0.3482031624263298,4.647058823529412,547.9566085733293,66.88854430379746,20.74519494251615,6.985376141357492,2.1689129315352305,338.365,312.6424564613604,62.053227848101265,20.95035747034017,6.481527296440177,2.190357502827925,0.1765533943794951
67e557aa25a43e8dde6c806c,task2,2,24.32,completed,0.85,0.5307045028692556,362.975,200.371721366644,0.87,0.62,-0.14,3.68,14.88,0.87,0.530704665990307,0.6035785961013956,-0.6278143756369415,4.647058823529412,547.9566085733293,67.34905063291139,45.10988274388673,7.033347952016333,4.714146404028738,364.045,200.37165693382875,67.57930379746836,45.10989660917609,7.057332932804976,4.714147851367512,0.6156964858691686
67e557aa25a43e8dde6c806c,task2,3,7.296,completed,-1.68,0.2959238696108473,227.62,293.11007150371535,-1.52,1.1,0.77,4.39,44.94,-1.52,0.3002791695861052,6.200931605894157e-13,-0.007680959873306923,4.647058823529412,547.9566085733293,38.22202531645569,25.153528916922014,3.9949758703582243,2.629657223243257,236.18,291.3897280134885,40.06405063291139,25.523729414818934,4.187337421187209,2.668345675322637,0.003840479936963508
67e557aa25a43e8dde6c806c,task2,4,11.545,completed,1.46,0.34604009107791256,395.61,273.3141640242245,1.32,0.99,-0.34,3.17,42.63,1.32,0.3466084918119714,0.08883646585431454,-0.39364942224982197,4.647058823529412,547.9566085733293,74.37177215189872,29.41340774162257,7.7646024661012705,3.074804862244804,388.12,273.0896457342713,72.75999999999999,29.461721804017564,7.596827385101985,3.079853064863155,0.24124294405206825
67e557aa25a43e8dde6c806c,task2,5,14.044,completed,0.44,0.36938424302980194,341.04,264.0932240032282,0.44,0.89,-0.11,3.59,46.1,0.44,0.36938424302980055,0.18181562896632186,-0.32939327307412625,4.647058823529412,547.9566085733293,62.62886075949367,31.397660657533166,6.541522841462451,3.2821239075495607,341.04,264.0932240032288,62.62886075949367,31.397660657533045,6.541522841462451,3.2821239075495483,0.25560445102022405
