participantId,trialId,trialOrder,responseId,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"acd0f51a-3b40-449f-93f8-9a136a166178","study_overview","5","","","13337","13337","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","study_overview","5","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":6,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","task1_intro","6","","","20189","20189","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","task1_intro","6","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":45,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_1","7","location-x","0.2","16428","16428","","","","","Block5","true","0.2","0.75",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_1","7","location-y","0.75","16428","16428","","","","","Block5","true","0.2","0.75",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_1","7","slider-x","0.2","16428","16428","","","","","Block5","true","0.2","0.75",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_1","7","slider-y","0.75","16428","16428","","","","","Block5","true","0.2","0.75",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_1","7","windowEvents","{""focus"":5,""input"":0,""keydown"":3,""keyup"":3,""mousemove"":72,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":2,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_2","8","location-x","-1.5","9423","9423","","","","","Block5","true","-1.5","0.4",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_2","8","location-y","0.4","9423","9423","","","","","Block5","true","-1.5","0.4",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_2","8","slider-x","-1.5","9423","9423","","","","","Block5","true","-1.5","0.4",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_2","8","slider-y","0.4","9423","9423","","","","","Block5","true","-1.5","0.4",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_train_2","8","windowEvents","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":67,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":3,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","task1_test_intro","9","","","5649","5649","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","task1_test_intro","9","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_5","10","location-x","-0.61","9684","9684","","","","","Block5","false","","",""
