participantId,trialId,trialOrder,responseId,condition,status,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"5ac9d112436f5500010007a5","point_task_7","36","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_33","37","","default","rejected","","","-1","","","","","point","","","","100"
"5ac9d112436f5500010007a5","point_task_33","37","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_44","38","","default","rejected","","","-1","","","","","point","","","","127"
"5ac9d112436f5500010007a5","point_task_44","38","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_15","39","","default","rejected","","","-1","","","","","point","","","","42"
"5ac9d112436f5500010007a5","point_task_15","39","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_3","40","","default","rejected","","","-1","","","","","point","","","","6"
"5ac9d112436f5500010007a5","point_task_3","40","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_26","41","","default","rejected","","","-1","","","","","point","","","","77"
"5ac9d112436f5500010007a5","point_task_26","41","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_30","42","","default","rejected","","","-1","","","","","point","","","","89"
